iter	Passed	Remaining
845	11830	4950
846	11845	4936
847	11857	4922
848	11872	4908
849	11886	4894
850	11900	4880
851	11914	4866
852	11929	4852
853	11941	4838
854	11954	4823
855	11969	4810
856	11985	4796
857	11999	4783
858	12015	4769
859	12030	4756
860	12046	4743
861	12060	4729
862	12075	4715
863	12089	4701
864	12105	4688
865	12120	4674
866	12134	4660
867	12149	4646
868	12162	4632
869	12177	4619
870	12190	4604
871	12204	4590
872	12216	4576
873	12229	4561
874	12242	4547
875	12256	4533
876	12271	4519
877	12284	4505
878	12297	4490
879	12310	4476
880	12324	4462
881	12338	4448
882	12351	4434
883	12365	4420
884	12378	4405
885	12392	4391
886	12406	4377
887	12419	4363
888	12432	4349
889	12445	4335
890	12458	4320
891	12471	4306
892	12483	4291
893	12497	4277
894	12510	4263
895	12524	4249
896	12538	4235
897	12551	4220
898	12563	4206
899	12577	4192
900	12591	4178
901	12606	4165
902	12621	4151
903	12637	4138
904	12663	4127
905	12677	4113
906	12690	4099
907	12704	4085
908	12717	4071
909	12732	4057
910	12747	4043
911	12760	4029
912	12773	4015
913	12789	4001
914	12802	3987
915	12818	3974
916	12832	3960
917	12846	3946
918	12861	3932
919	12874	3918
920	12888	3904
921	12903	3890
922	12916	3876
923	12931	3862
924	12945	3848
925	12960	3834
926	12977	3821
927	12993	3808
928	13007	3794
929	13022	3780
930	13035	3766
931	13057	3754
932	13071	3740
933	13085	3726
934	13099	3712
935	13114	3698
936	13129	3685
937	13143	3671
938	13157	3657
939	13170	3642
940	13184	3628
941	13200	3615
942	13215	3601
943	13229	3587
944	13243	3573
945	13256	3559
946	13272	3545
947	13285	3531
948	13298	3517
949	13313	3503
950	13325	3489
951	13340	3475
952	13354	3461
953	13368	3447
954	13381	3433
955	13396	3419
956	13411	3405
957	13424	3391
958	13439	3377
959	13456	3364
960	13472	3350
961	13488	3337
962	13506	3323
963	13523	3310
964	13541	3297
965	13560	3284
966	13579	3271
967	13597	3258
968	13616	3245
969	13638	3233
970	13663	3222
971	13681	3209
972	13700	3196
973	13716	3182
974	13731	3168
975	13746	3154
976	13766	3142
977	13781	3128
978	13795	3114
979	13809	3100
980	13825	3086
981	13841	3072
982	13857	3059
983	13870	3044
984	13884	3030
985	13899	3016
986	13912	3002
987	13927	2988
988	13940	2974
989	13954	2960
990	13969	2946
991	13984	2932
992	13998	2918
993	14012	2903
994	14025	2889
995	14039	2875
996	14054	2861
997	14068	2847
998	14082	2833
999	14097	2819
1000	14111	2805
1001	14124	2791
1002	14139	2777
1003	14152	2762
1004	14166	2748
1005	14180	2734
1006	14194	2720
1007	14210	2706
1008	14226	2692
1009	14241	2679
1010	14255	2665
1011	14271	2651
1012	14288	2637
1013	14303	2623
1014	14318	2609
1015	14335	2596
1016	14350	2582
1017	14364	2568
1018	14379	2554
1019	14395	2540
1020	14409	2526
1021	14424	2512
1022	14440	2498
1023	14454	2484
1024	14470	2470
1025	14482	2456
1026	14496	2441
1027	14511	2427
1028	14527	2414
1029	14542	2400
1030	14555	2385
1031	14569	2371
1032	14583	2357
1033	14598	2343
1034	14613	2329
1035	14631	2316
1036	14647	2302
1037	14661	2288
1038	14676	2274
1039	14692	2260
1040	14708	2246
1041	14724	2232
1042	14741	2219
1043	14758	2205
1044	14775	2191
1045	14792	2177
1046	14806	2163
1047	14822	2149
1048	14837	2135
1049	14854	2122
1050	14869	2108
1051	14885	2094
1052	14901	2080
1053	14916	2066
1054	14931	2052
1055	14946	2038
1056	14959	2023
1057	14973	2009
1058	14988	1995
1059	15001	1981
1060	15014	1967
1061	15028	1952
1062	15043	1938
1063	15058	1924
1064	15073	1910
1065	15086	1896
1066	15099	1882
1067	15114	1868
1068	15129	1854
1069	15142	1839
1070	15157	1825
1071	15171	1811
1072	15185	1797
1073	15208	1784
1074	15224	1770
1075	15239	1756
1076	15254	1742
1077	15269	1728
1078	15284	1714
1079	15297	1699
1080	15313	1685
1081	15327	1671
1082	15341	1657
1083	15355	1643
1084	15368	1628
1085	15382	1614
1086	15396	1600
1087	15410	1586
1088	15424	1572
1089	15437	1557
1090	15450	1543
1091	15464	1529
1092	15478	1515
